City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,langsa,4.4683,97.9683,29.77,59,86,0.98,ID,1676516361
1,bengkulu,-3.8004,102.2655,27.7,68,98,0.84,ID,1676516361
2,vaini,-21.2,-175.2,29.09,84,75,5.14,TO,1676516361
3,vysokogornyy,50.1167,139.15,-16.25,81,90,2.73,RU,1676516362
4,marzuq,14.4,46.4667,14.51,15,5,2.59,YE,1676516362
5,te anau,-45.4167,167.7167,22.15,38,69,1.64,NZ,1676516345
6,usinsk,65.9939,57.5281,-11.62,91,100,8.67,RU,1676516363
7,saint-pierre,-21.3393,55.4781,24.39,68,0,3.6,RE,1676516363
8,rikitea,-23.1203,-134.9692,26.27,70,100,2.62,PF,1676516364
9,champerico,14.3,-91.9167,25.28,77,0,2.02,GT,1676516364
10,balikpapan,-1.2675,116.8289,26.55,78,20,1.03,ID,1676516364
11,pisco,-13.7,-76.2167,23.03,94,20,2.06,PE,1676516365
12,mataura,-46.1927,168.8643,14.71,47,100,2.0,NZ,1676516365
13,jamestown,42.097,-79.2353,10.01,65,0,7.2,US,1676516309
14,cidreira,-30.1811,-50.2056,23.4,89,29,3.13,BR,1676516188
15,touros,-5.1989,-35.4608,26.5,80,100,5.54,BR,1676516257
16,yellowknife,62.456,-114.3525,-31.36,75,20,1.03,CA,1676516366
17,gilgit,35.9221,74.3087,5.05,73,92,0.36,PK,1676516366
18,saint george,37.1041,-113.5841,2.33,37,0,4.12,US,1676516366
19,albany,42.6001,-73.9662,15.7,56,5,1.34,US,1676515795
20,qaanaaq,77.484,-69.3632,-28.89,64,23,3.72,GL,1676516338
21,busselton,-33.65,115.3333,21.8,56,64,3.75,AU,1676516367
22,san felipe,10.3399,-68.7425,21.69,96,99,2.58,VE,1676516367
23,muskegon,43.3,-86.1334,3.92,76,100,5.14,US,1676516106
24,redlands,34.0556,-117.1825,11.82,32,0,0.45,US,1676516276
25,hilo,19.7297,-155.09,21.85,93,100,4.02,US,1676516368
26,coihaique,-45.5752,-72.0662,7.97,53,0,1.54,CL,1676516124
27,inverell,-29.7833,151.1167,31.48,37,0,2.24,AU,1676516369
28,saint-philippe,-21.3585,55.7679,21.77,79,70,3.93,RE,1676516364
29,bethel,41.3712,-73.414,16.05,63,0,5.66,US,1676516370
30,vila franca do campo,37.7167,-25.4333,13.23,81,26,2.01,PT,1676516370
31,klaksvik,62.2266,-6.589,4.51,68,30,13.43,FO,1676516370
32,iqaluit,63.7506,-68.5145,-31.15,69,20,4.63,CA,1676516371
33,katsuura,35.1333,140.3,6.47,52,37,5.4,JP,1676516349
34,alugan,12.2188,125.4808,25.37,84,100,9.86,PH,1676516371
35,berlevag,70.8578,29.0864,-1.0,80,20,6.17,NO,1676516371
36,kumluca,36.3703,30.2869,7.72,41,8,2.63,TR,1676516372
37,kodiak,57.79,-152.4072,-4.27,46,0,4.63,US,1676516099
38,sitka,57.0531,-135.33,1.94,87,100,3.6,US,1676516372
39,chokurdakh,70.6333,147.9167,-39.07,100,91,0.47,RU,1676516373
40,hermanus,-34.4187,19.2345,18.22,85,47,7.68,ZA,1676516373
41,kuwana,35.0667,136.7,7.0,37,1,2.17,JP,1676516015
42,east london,-33.0153,27.9116,22.43,89,99,6.07,ZA,1676516359
43,tilichiki,60.4667,166.1,-22.12,80,100,5.46,RU,1676516374
44,joshimath,30.5667,79.5667,14.19,31,0,3.07,IN,1676515988
45,bathsheba,13.2167,-59.5167,25.34,78,40,9.26,BB,1676516375
46,pevek,69.7008,170.3133,-40.13,98,74,1.51,RU,1676516076
47,najran,17.4924,44.1277,21.36,45,8,2.71,SA,1676516078
48,mahebourg,-20.4081,57.7,23.47,94,75,1.54,MU,1676516375
49,clyde river,70.4692,-68.5914,-30.87,69,100,7.72,CA,1676516376
50,arraial do cabo,-22.9661,-42.0278,24.29,94,100,5.46,BR,1676516305
51,enkoping,59.6361,17.0777,1.92,93,100,3.72,SE,1676516376
52,lorengau,-2.0226,147.2712,27.68,78,100,3.99,PG,1676516377
53,sangar,63.9242,127.4739,-35.14,95,62,1.96,RU,1676516377
54,seymchan,62.8833,152.4333,-28.17,87,97,2.37,RU,1676516378
55,bredasdorp,-34.5322,20.0403,19.42,86,64,7.88,ZA,1676516378
56,la ronge,55.1001,-105.2842,-24.86,70,0,1.03,CA,1676516378
57,kuliyapitiya,7.4688,80.0401,22.82,63,85,2.27,LK,1676516379
58,taltal,-25.4,-70.4833,20.37,79,0,1.18,CL,1676516379
